Mmar,Aana,Plit,Udel,Aarc,Agal,Aolig,Aang,Ccal,Cpal,Lboc,Pdur,Salb,Scar,Stru,HYRIV_ID,ORD_STRA,S_CaCO3_av,ele_mt_cav,ele_mt_uav,ele_mt_cmn,ele_mt_cmx,slp_dg_cav,slp_dg_uav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_uyr,tmp_dc_cmn,tmp_dc_cmx,pre_mm_cyr,pre_mm_uyr,crp_pc_use,pst_pc_use,hft_ix_u09,continenta
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,20603273,2,4,1367,1390,1007,2039,88,98,32,95,93,16,194,569,560,11,23,61,17.93118605
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20572026,2,5,1236,1413,1061,1728,77,103,37,93,82,13,184,645,711,6,21,40,17.27188322
0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,20605979,4,0,1050,1520,967,1406,52,121,36,113,88,32,212,500,652,8,14,65,18.04086459
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,20606617,3,0,1460,1686,1200,1823,133,115,112,91,79,13,191,600,676,6,12,43,17.96917765
0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,20601941,3,1,1194,1360,1104,1576,53,83,18,104,95,23,201,455,519,36,21,84,17.88591842
0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,20584050,4,0,742,1061,719,852,12,40,12,123,109,38,217,396,451,38,22,137,17.88595292
0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,20586428,4,0,778,1086,762,787,28,46,86,122,107,37,217,401,469,37,23,154,17.94917589
0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,20574372,4,0,665,846,502,852,112,88,53,118,109,40,205,696,767,14,5,57,16.5470659
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,20581083,4,0,465,720,291,629,151,64,69,132,117,52,220,630,634,27,9,52,16.77450342
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,20581673,2,0,613,683,431,799,107,61,184,125,121,44,214,631,641,59,14,65,16.92020963
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,20571314,2,0,735,867,545,917,120,114,105,115,108,42,199,945,1029,3,4,77,15.70298001
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,20571228,2,0,632,951,562,748,158,88,160,121,103,45,205,868,960,1,5,48,15.9357235
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20572275,2,0,812,1052,617,1128,126,101,159,110,98,33,197,771,877,14,3,26,16.40824855
